ring,hole,order,x,y
6,0,516,433422.1813,2448478.7797
6,0,517,430557.8916,2449976.2986
6,0,518,430166.3527,2451986.6172
6,0,519,431790.7814,2454336.1688
6,0,520,432660.091,2454760.7936
6,0,521,433421.9152,2454525.8443
6,0,522,435029.2221,2451793.9882
6,0,523,436224.6647,2451758.5203
6,0,524,436848.9022,2453226.901
6,0,525,438591.6683,2454584.4943
6,0,526,439035.8361,2455952.8235
6,0,527,439698.4659,2456049.1023
6,0,528,442008.313,2455064.257
6,0,529,444860.7457,2452373.0513
6,0,530,446218.6262,2450176.7182
6,0,531,447789.9779,2449350.618
6,0,532,449445.2698,2449336.8885
6,0,533,450595.6199,2449886.2364
6,0,534,452404.9635,2453250.4278
6,0,535,453917.868,2454457.3102
6,0,536,455472.0451,2454495.3121
6,0,537,457958.373,2453458.5558
6,0,538,458590.0121,2452919.6864
6,0,539,458775.6537,2450834.7736
6,0,540,460680.0266,2450183.7752
6,0,541,461640.8322,2449312.0306
6,0,542,462355.5852,2449509.429
6,0,543,464134.0832,2452162.2653
6,0,544,465616.465,2452708.8476
6,0,545,466361.5023,2453566.7379
6,0,546,466164.2528,2454355.9431
6,0,547,464063.4599,2455973.8379
6,0,548,463366.2038,2457783.5957
6,0,549,464961.8908,2459675.7392
6,0,550,468025.6375,2460819.0154
6,0,551,468455.5507,2463483.1399
6,0,552,471604.2442,2465667.3252
6,0,553,474566.7544,2463559.6256
6,0,554,476042.6851,2463471.1674
6,0,555,477325.8249,2464123.5381
6,0,556,477732.7107,2464752.8912
6,0,557,477507.9185,2465237.3757
6,0,558,476236.6303,2465400.3207
6,0,559,475575.0505,2468505.3455
6,0,560,473656.2796,2470375.8475
6,0,561,472915.6329,2473176.7424
6,0,562,471004.1125,2472938.4478
6,0,563,469939.9111,2473455.4155
6,0,564,469910.4363,2482119.188
6,0,565,468211.0457,2482996.8518
6,0,566,467239.0397,2485520.2726
6,0,567,468209.0386,2485817.0053
6,0,568,471146.1936,2483861.8013
6,0,569,471935.8259,2483855.2529
6,0,570,473241.2134,2484733.6109
6,0,571,473068.6444,2488418.7953
6,0,572,474706.7439,2492444.6181
6,0,573,473863.1294,2495093.8437
6,0,574,474248.1268,2495446.1985
6,0,575,475085.3377,2495159.7781
6,0,576,475842.7664,2497465.4456
6,0,577,477193.3687,2497530.4587
6,0,578,478075.7228,2496506.9068
6,0,579,478396.2766,2495208.6699
6,0,580,479386.5898,2494946.291
6,0,581,480397.2213,2497122.7685
6,0,582,481089.6165,2497675.9253
6,0,583,484118.4098,2497701.602
6,0,584,485625.3898,2498197.1328
6,0,585,487478.7487,2497546.7281
6,0,586,488220.1713,2497921.5047
6,0,587,489286.2337,2500605.7249
6,0,588,490306.4722,2500800.5316
6,0,589,492389.4375,2500198.9482
6,0,590,494124.8838,2500718.005
6,0,591,494816.6268,2501296.6871
6,0,592,494781.188,2503151.4975
6,0,593,495247.1479,2504036.7928
6,0,594,496165.1805,2504334.0827
6,0,595,499571.2162,2503569.0391
6,0,596,502128.2335,2504792.912
6,0,597,505287.8657,2505223.9496
6,0,598,506166.0168,2506690.2134
6,0,599,508113.5179,2508376.2383
6,0,600,508791.299,2509917.606
6,0,601,510012.743,2510037.9103
6,0,602,510505.0252,2511081.6596
6,0,603,512138.2037,2510801.9265
